# 4E Player Preview Diagnose,
# Generated,2026-04-15T01:45:08.864Z
# Player version,3.11.7
# Preview mode,true
# Renderer autoClear,true
# Renderer sortObjects,true
# Renderer shadowMap,true
,
index,name,type,uuid,visible,renderOrder,frustumCulled,castShadow,receiveShadow,depth,parentChain,parentElTag,parentElId,parentElClass,posX,posY,posZ,scaleX,scaleY,scaleZ,matType,colorWrite,depthWrite,depthTest,transparent,opacity,side
0,(unnamed),Mesh,159B21F5,true,0,true,true,true,2,Group > Scene,a-box,ground,cantap,0.000,0.000,0.000,1.000,1.000,1.000,ShadowMaterial,true,true,true,true,0.4,Front
1,(unnamed),Mesh,D4548CA8,true,0,true,true,true,3,Group > Group > Scene,a-sphere,ent-0,cantap,0.000,0.000,0.000,1.000,1.000,1.000,MeshStandardMaterial,true,true,true,false,1,Front
2,(unnamed),Mesh,FDFB59E1,true,0,true,true,true,3,Group > Group > Scene,a-cylinder,ent-1,cantap,0.000,0.000,0.000,1.000,1.000,1.000,MeshStandardMaterial,true,true,true,false,1,Front
3,(unnamed),Mesh,F32C36C5,true,0,true,true,true,3,Group > Group > Scene,a-cone,ent-3,cantap,0.000,0.000,0.000,1.000,1.000,1.000,MeshStandardMaterial,true,true,true,false,1,Front
4,(unnamed),Mesh,E0DA2057,true,0,true,true,true,4,Group > Group > Group > Scene,a-torus,ent-2,cantap,0.000,0.000,0.000,1.000,1.000,1.000,MeshStandardMaterial,true,true,true,false,1,Front
5,(unnamed),Mesh,FE5707BC,true,0,true,true,true,4,Group > Group > Group > Scene,a-torus,ent-5,cantap,0.000,0.000,0.000,1.000,1.000,1.000,MeshStandardMaterial,true,true,true,false,1,Front
6,(unnamed),Mesh,EFCB4D9A,true,-5,true,false,false,3,Group > Group > Scene,a-box,ent-4,cantap,0.000,0.000,0.000,1.000,1.000,1.000,MeshStandardMaterial,false,true,true,false,1,Front
7,(unnamed),Mesh,8AEC0830,false,0,true,false,false,1,Scene,,,,0.000,0.000,0.000,1.000,1.000,1.000,RawShaderMaterial,true,true,true,false,1,Double
8,(unnamed),Mesh,07C36674,true,0,true,false,false,2,Group:xrweb-background > Scene,,,,0.000,0.000,0.000,4900.000,4900.000,4900.000,ShaderMaterial,true,true,true,false,1,Front
9,(unnamed),Mesh,8BBF0890,true,0,true,false,false,2,Group:xrweb-background > Scene,,,,0.000,-0.010,0.000,160.000,160.000,160.000,MeshBasicMaterial,true,true,true,false,1,Front
